transliteration,normalization,sign_names,remarks
He₂-šu-um-ma{ki},Hešum[]SN,GAN ŠU UM MA KI,
He₂-du-ut-{d}Amar-{d}Suen,HidutAmarSuʾen[]PN,GAN DU UD AN AMAR AN EN ZU,
He₂-na-DU.DU,He₂.na.DU.DU[]PN,GAN NA DU DU,Henalah?
He₂-na-du-du,He₂.na.DU.DU[]PN,GAN NA DU DU,
He₂-na-sa₆,Henasag[]PN,GAN NA ŠA₆,
He₂-na-sig₅,Henasag[]PN,GAN NA IGI ERIN₂,
He₂-sa₆-ge,Hesage[]PN,GAN ŠA₆ GI,
He₂-ti,Hetil[]PN,GAN TI,
Hi-ba-ri-tum{ki}-ta,Hibaritum[]SN,HI BA RI TUM KI TA,
Hi-bi-la-tum{ki},Hibilatum[]SN,HI BI LA TUM KI,
Hi-bi₂-la-a-at{ki},Hibilatum[]SN,HI NE LA A AD KI,
Hi-bi₂-la-at{ki},Hibilatum[]SN,HI NE LA AD KI,
Hi-gal₂-ta,Heŋal[]PN,HI IG TA,
Hi-ir,Hir[]PN,HI IR,
Hi-ir-ṣum,Hirṣum[]PN,HI IR ZUM,
Hi-ir-ta,Hir[]PN,HI IR TA,
Hi-li,Hili[]PN,HI LI,
Hi-li-a,Hiliʾa[]PN,HI LI A,"or, Hiliya?"
Hi-li-abzu,HiliʾAbzu[]PN,HI LI ZU AB,
Hi-li-iš,Hiliš[]PN,HI LI IŠ,
Hi-pi₅-la-ti,Hibilatum[]PN,HI NE LA TI,
Hu-DU.DU,Hu.DU.DU[]PN,HU DU DU,"Sum. prec + vb, or Sem.?"
Hu-HAR.HAR,Hu.HI×AŠ₂.HI×AŠ₂[]PN,HU HI×AŠ₂ HI×AŠ₂,"Sum. prec + vb, or Sem.?"
Hu-al-la,HuʾAlla[]PN,HU AL LA,uncertain
Hu-ba,Huba[]PN,HU BA,
Hu-ba-MIR-si-NI,Hu.ba.DUN₃@g@g.si.NI[]PN,HU BA DUN₃@G@G SI NI,ensi2 Hurti
Hu-ba-a,Huba[]PN,HU BA A,"or, Hubaʾa/Hubaya?"
Hu-ba-a-še₃,Huba[]PN,HU BA A EŠ₂,
Hu-ba-a-ta,Huba[]PN,HU BA A TA,
Hu-ba-mir-si-ni,Hu.ba.DUN₃@g@g.si.NI[]PN,HU BA DUN₃@G@G SI NI,
Hu-ba-nu,Hubanuduk[]PN,HU BA NU,uncertain; MVN 05 116 r 1: giri3 Hu-ba-nu-dug4-gum3? (copy/photo)
Hu-ba-nu-du-uk,Hubanuduk[]PN,HU BA NU DU |PIRIG×UD|,
Hu-ba-ta,Huba[]PN,HU BA TA,
Hu-bi-um{ki},Hubum[]SN,HU BI UM KI,
Hu-bu-di-a,Hubutiya[]PN,HU BU DI A,"or, Hubutiʾa?"
Hu-bu-ti-a,Hubutiya[]PN,HU BU TI A,
Hu-ha,Huha[]PN,HU HA,
Hu-hu-nu-ri,Huhnuri[]SN,HU HU NU RI,
Hu-hu-nu-ri{ki},Huhnuri[]SN,HU HU NU RI KI,
Hu-hu-nu-ur,Huhunur[]PN,HU HU NU UR,= Huhnuri?
Hu-la-al,Hulal[]PN,HU LA AL,
Hu-la-al-la,Hulal[]PN,HU LA AL LA,uncertain; SAT 3 1401 r 8 (SS 03; no copy/photo)
Hu-la-li₂,Hulali[]PN,HU LA NI,
Hu-li-ba-ar,Hulibar[]PN,HU LI BA IGI RI,
Hu-li-bar,Hulibar[]PN,HU LI BAR,
Hu-li-bar-še₃,Hulibar[]PN,HU LI BAR EŠ₂,
Hu-li₂-bar,Hulibar[]PN,HU NI BAR,
Hu-lu-du-uk,Huluduk[]PN,HU LU DU |PIRIG×UD|,
Hu-ma-sa₃,Humasa[]PN,HU MA ZA,
Hu-na-zi,Hunazi[]PN,HU NA ZI,Hunaṣi?
Hu-ne-dam,Hupitam[]PN,HU NE DAM,
Hu-nu-nu-lu-ta,Hununur[]PN,HU NU NU LU TA,uncertain; CT 32 50 BM 103409 o 15: 2 sila4 ki Hu-nu-nu-lu-ta (copy)
Hu-nu-nu-ur,Hununur[]PN,HU NU NU UR,20 citations
Hu-nu-nu-ur-ta,Hununur[]PN,HU NU NU UR TA,
Hu-nu-um,Hunum[]PN,HU NU UM,
Hu-pa₂,Huba[]PN,HU BA,
Hu-pi₅-tam₂,Hupitam[]PN,HU NE DAM,
Hu-pi₅-tam₂-ta,Hupitam[]PN,HU NE DAM TA,
Hu-pu-um{ki}-še₃,Hubum[]SN,HU BU UM KI EŠ₂,
Hu-ra-zi,Huraṣi[]PN,HU RA ZI,uncertain
Hu-ru,Huru[]PN,HU RU,
Hu-su-uz-za-ar-ra-ri,Husuzzarrari[]PN,HU SU ŠE HU ZA IGI RI RA RI,
Hu-ub-ni{ki},Hubni[]SN,HU UB NI KI,
Hu-ub-ni{ki}-ta,Hubni[]SN,HU UB NI KI TA,
Hu-uh-nu-ri{ki},Huhnuri[]SN,HU |HI×NUN| NU RI KI,"UH misread for UH2 (SET 065 r 10, TCS 186 r 5)"
Hu-uh₂-nu-,Huhnuri[]SN,HU UD KUŠU₂ NU,typo (written over 2 lines)
Hu-uh₂-nu-ri,Huhnuri[]SN,HU UD KUŠU₂ NU RI,
Hu-uh₂-nu-ri-ki,Huhnuri[]SN,HU UD KUŠU₂ NU RI KI,
Hu-uh₂-nu-ri.ki,Huhnuri[]SN,HU UD KUŠU₂ NU RI KI,
Hu-uh₂-nu-ri{ki},Huhnuri[]SN,HU UD KUŠU₂ NU RI KI,
Hu-uh₂-nu-ri{ki}-ka,Huhnuri[]SN,HU UD KUŠU₂ NU RI KI KA,
Hu-uh₂-nu-ri{ki}-ke₄-ne,Huhnuri[]SN,HU UD KUŠU₂ NU RI KI KID NE,BIN 3 402 o 3: uzu-bi gar3-du lu2 Hu-uh2-nu-ri{ki}-ke4-ne ba-ab-gu7 (copy)
Hu-uh₂:nu-ri{ki},Huhnuri[]SN,HU UH₂:NU RI KI,
Hu-uh₃-nu-ri{ki},Huhnuri[]SN,HU KUŠU₂ NU RI KI,"5 PD citations: 3 with UH3 misread for UH2, 1 unkn (PDT 2 0796 r 3; no copy/photo), 1 (ASJ 19 206 20 r 9; copy) restored"
Hu-ul-li-bar,Hulibar[]PN,HU U GUD LI BAR,
Hu-um-ra-nu-um,Humranum[]PN,HU UM RA NU UM,
Hu-um-zum,Humzum[]PN,HU UM ZUM,Humṣu(m)?
Hu-un-da-hi-še-er,Hundahišer[]PN,HU UN DA HI ŠE IR,
Hu-un-da-ri,Hundari[]PN,HU UN DA RI,
Hu-un-ga-ad,Hungad[]PN,HU UN GA AD,
Hu-un-gu-ur₂-bi,Hungurbi[]PN,HU UN GU UR₂ BI,
Hu-un-ha-ab-UR,Hu.un.ha.ab.UR[]PN,HU UN HA AB UR,Hunhabtiš?
Hu-un-hi-li,Hunhili[]PN,HU UN HI LI,
Hu-un-hu-nu,Hunhunu[]PN,HU UN HU NU,
Hu-un-hu-ub-še,Hunhupše[]PN,HU UN HU UB ŠE,probly Hurrian
Hu-un-hur-ti,Hunhurti[]PN,HU UN |HI×AŠ₂| TI,
Hu-un-ki-ib-ri,Hunkibri[]PN,HU UN KI IB RI,probly Hurrian
Hu-un-na-zi,Hunnazi[]PN,HU UN NA ZI,
Hu-un-nu-bu,Hunnubu[]PN,HU UN NU BU,
Hu-un-nu-du-uk,Hunnuduk[]PN,HU UN NU DU |PIRIG×UD|,
Hu-un-nu-um,Hunnum[]PN,HU UN NU UM,
Hu-un-za-ti,Hunzati[]PN,HU UN ZA TI,Hunṣati?
Hu-un-ze₂-ri,Hunzeri[]PN,HU UN ZE₂ RI,Hunṣeri?
Hu-un-{d}Šul-gi,HunŠulgi[]PN,HU UN AN DUN GI,
Hu-un-{d}šul-gi,HunŠulgi[]PN,HU UN AN DUN GI,
Hu-ur-ti-EN{ki},Hu.ur.ti.EN{ki}[]SN,HU UR TI EN KI,probly mistaken writing for Hurti (PPAC 4 067 o 5; copy/photo)
Hu-ur-ti{ki},Hurti[]SN,HU UR TI KI,
Hu-ur-ti{ki}-me-eš₂,Hurti[]SN,HU UR TI KI ME EŠ₂,
Hu-ur-ti{ki}-ta,Hurti[]SN,HU UR TI KI TA,
Hu-ur₂-ti{ki},Hurti[]SN,HU UR₂ TI KI,3 PD citations; CDLB 2012: 2 2.2 r 16 (UR2 misread for UR5)
Hu-ur₅-,Hurti[]SN,HU |HI×AŠ₂|,typo (written over 2 lines)
Hu-ur₅-ri{ki},Hurti[]SN,HU |HI×AŠ₂| RI KI,RI probly typo; BPOA 7 2793 r 5f: mu mu Ki-maš{ki} u3 Hu-ur5-ri{ki} ba-hul (no copy/photo)
Hu-ur₅-ti,Hurti[]SN,HU |HI×AŠ₂| TI,
Hu-ur₅-ti-ki,Hurti[]SN,HU |HI×AŠ₂| TI KI,
Hu-ur₅-ti{ki},Hurti[]SN,HU |HI×AŠ₂| TI KI,
Hu-ur₅-ti{ki}-še₃,Hurti[]SN,HU |HI×AŠ₂| TI KI EŠ₂,
Hu-ur₅-ti{ki}-ta,Hurti[]SN,HU |HI×AŠ₂| TI KI TA,
Hu-wa-wa,Huwawa[]PN,HU PI PI,
Hu-zi-ni,Huzini[]WN,HU ZI NI,BPOA 7 2048 o 4: gu2 {id2}Hu-zi-ni (no copy/photo)
Hu-zi-ri,Huziri[]PN,HU ZI RI,
Hur-sag-ba-ša-ar,Hursaŋbašar[]GN,|HI×AŠ₂| SAG BA ŠA IGI RI,Jebel Bišri
Hur-sag-ga-lam-GA-ma,Hursaŋkalamak[]DN,|HI×AŠ₂| SAG GA LAM GA MA,AUCT 1 291 o 13 (copy/photo)
Hur-sag-ga-lam-ma,Hursaŋkalamak[]DN,|HI×AŠ₂| SAG GA LAM MA,"or, TN?; contextual with offerings to DNs (127 citations)"
Hur-ti,Hurti[]SN,|HI×AŠ₂| TI,
Hur-ti{ki},Hurti[]SN,|HI×AŠ₂| TI KI,
Hur{ur}-ti{ki},Hurti[]SN,|HI×AŠ₂| UR TI KI,
I-ba-a,Iba[]PN,I BA A,"or, Ibaʾa/Ibaya?; or, Akk. Ibbaya (hypo < Ibbi-DN?)"
I-ba-ti,Ibati[]PN,I BA TI,ensi2 Gubla
I-bi-iq-re-e-u₂,Ipiqreʾu[]PN,I BI IG RI E U₂,
I-bi₂-id-Er₃-ra,IbitErra[]PN,I NE A₂ ARAD RA,
I-bi₂-lu-lu,IbbiLulu[]PN,I NE LU LU,uncertain
I-bi₂-zu,Ibizu[]PN,I NE ZU,
I-bi₂-{d}IŠKUR,IbbiʾAdad[]PN,I NE AN IM,
I-bi₂-{d}Ištaran,IbbiʾIštaran[]PN,I NE AN KA DI,
I-bi₂-{d}Istaran,IbbiʾIštaran[]PN,I NE AN ISTARAN,
I-bi₂-{d}Nu-muš-da,IbbiNumušda[]PN,I NE AN NU MUŠ DA,
I-bi₂-{d}Suen,IbbiSuʾen[]RN,I NE AN EN ZU,
I-da-be-li₂,Idabeli[]PN,I DA BAD NI,
I-ša-we-er,IšaWer[]PN,I ŠA PI IR,< Harši
I-ša-wi-ir,IšaWer[]PN,I ŠA PI IR,
I-šar-IGI.ŠE₃-{d}Suen,I.šar.IGI.EŠ₂.{d}Suʾen[]PN,I SAR IGI EŠ₂ AN EN ZU,Nisaba 08 378 o 11: I-šar-IGI.ŠE3-{d}Suen (sic!) / sagi maškim (no copy/photo)
I-šar-a-hi,Išarahi[]PN,I SAR A HI,
I-šar-a-li₂-iš-su₂,Išarališšu[]PN,I SAR A NI IŠ ZU,< Kimaš
I-šar-be-li₂,Išarbeli[]PN,I SAR BAD NI,
I-šar-i₃-li₂,Išarili[]PN,I SAR NI NI,
I-šar-ki-in,Išarkin[]PN,I SAR KI IN,
I-šar-kur-ba-šum,Išarkurbašum[]PN,I SAR KUR BA TAG,
I-šar-li-bi,Išarlibbi[]PN,I SAR LI BI,
I-šar-li-bur,Išarlibur[]PN,I SAR LI BUR,
I-šar-pa₂-da-AŠ,I.šar.pa₂.da.AŠ[]PN,I SAR BA DA AŠ,probly Išarpadan (JCS 54 12 82 r ii 19'; no copy/photo)
I-šar-pa₂-dan,Išarpadan[]PN,I SAR BA KAL,
I-šar-pa₂-dan-ka,Išarpadan[]PN,I SAR BA KAL KA,
I-šar-pa₂-dan-ta,Išarpadan[]PN,I SAR BA KAL TA,
I-šar-ra-ku-da-aš,Išarakudaš[]PN,I SAR RA KU DA AŠ,
I-šar-ra-ma-aš,Išaramaš[]PN,I SAR RA MA AŠ,
I-šar-ra-maš,Išaramaš[]PN,I SAR RA MAŠ,
I-šar-ru-um,Išarum[]PN,I SAR RU UM,
I-šar-um,Išarum[]PN,I SAR UM,
I-šar-{d}Šu-{d}Suen,IšarŠuSuʾen[]PN,I SAR AN ŠU AN EN ZU,
I-šar-{d}Šul-gi,IšarŠulgi[]PN,I SAR AN DUN GI,
I-ši-We-er,IšiWer[]PN,I IGI PI IR,< Harši
I-šim-{d}Šu-{d}Suen{ki}-me-eš₂,IšimŠuSuʾen[]SN,I ŠIM AN ŠU AN EN ZU KI ME EŠ₂,
I-šim-{d}Šul-gi,IšimŠulgi[]SN,I ŠIM AN DUN GI,= EZEN-{d}Šul-gi?
I-šim-{d}Šul-gi-ra,IšimŠulgi[]SN,I ŠIM AN DUN GI RA,
I-šim-{d}Šul-gi-ra-ta,IšimŠulgi[]SN,I ŠIM AN DUN GI RA TA,
I-šim-{d}Šul-gi{ki},IšimŠulgi[]SN,I ŠIM AN DUN GI KI,
I-šim-{d}Šul-gi{ki}-me,IšimŠulgi[]SN,I ŠIM AN DUN GI KI ME,
I-šim-{d}Šul-gi{ki}-ra,IšimŠulgi[]SN,I ŠIM AN DUN GI KI RA,
I-šu-a-nu-um,IšuʾAnum[]PN,I ŠU A NU UM,
I-šu-dan,Išudan[]PN,I ŠU KAL,Išumdan?
I-šum-ba-ni,Išumbani[]PN,I TAG BA NI,
I-šum-ma{ki},Išum[]SN,I TAG MA KI,
I-šur₆{ki},Išur[]SN,I LAL₂ LAGAB KI,= Aššur?
I-ṭib{ib}-si-na-at,Iṭibšinat[]PN,I DIB IB SI NA AD,
I-da-šu,Idašu[]PN,I DA ŠU,
I-da-du,Idadu[]PN,I DA DU,
I-da-gu-ur,Idagur[]PN,I DA GU UR,
I-din-AK,I.din.AK[]PN,I DIN AK,< Mari
I-din-DINGIR,Idinilum[]PN,I DIN AN,
I-din-E₂-a,IdinEa[]PN,I DIN E₂ A,
I-din-E₂-a-ta,IdinEa[]PN,I DIN E₂ A TA,
I-din-E₂-a-tal,IdinEatal[]PN,I DIN E₂ A RI,JCS 52 11 44 r 1: [...]-HI?-E2?-a-RI (broken context; copy/photo)
I-din-Eš₄-tar₂,IdinEštar[]PN,I DIN DIŠ DAR,
I-din-Er₃-ra,IdinErra[]PN,I DIN ARAD RA,
I-din-Er₃-ra-ke₄,IdinErra[]PN,I DIN ARAD RA KID,
I-din-Er₃-ra-ta,IdinErra[]PN,I DIN ARAD RA TA,
I-din-I-šum,IdinIšum[]PN,I DIN I TAG,
I-din-ni-TUG₂,Idinilu[]PN,I DIN NI TUG₂,UDT 091 o vii 29' (copy)
I-din-{d}Da-gan,IdinDagan[]PN,I DIN AN DA GAN,
I-din-{d}Da-gan-še₃,IdinDagan[]PN,I DIN AN DA GAN EŠ₂,
I-din-{d}En-lil₂,IdinEnlil[]PN,I DIN AN EN KID,
I-din-{d}IŠKUR,IdinAdad[]PN,I DIN AN IM,
I-din-{d}IŠKUR-ta,IdinAdad[]PN,I DIN AN IM TA,
I-din-{d}Suen,IdinSuʾen[]PN,I DIN AN EN ZU,
I-din-{d}Suen-ta,IdinSuʾen[]PN,I DIN AN EN ZU TA,
I-du-a,Iduʾa[]PN,I DU A,
I-du-du-a-ta,Idudu[]PN,I DU DU A TA,
I-gal-še-ru-mah,Igirumah[]PN,I GAL ŠE RU MAH,UDT 112 o 8: 1 sila4 I-gi4-ru-mah (copy)
I-gi-ru-mah,Igirumah[]PN,I GI RU MAH,
I-gi₄,Igi[]PN,I GI₄,
I-gi₄-a,Igiʾa[]PN,I GI₄ A,
I-gi₄-ha-lum,Igihalum[]PN,I GI₄ HA LUM,
I-gi₄-ri-mah,Igirumah[]PN,I GI₄ RI MAH,
I-gi₄-ru-mah,Igirumah[]PN,I GI₄ RU MAH,
I-gi₄-ru-um,I.gi.ru.X[]PN,I GI₄ RU UM,"Igirumah?; AUCT 2 099 r 1: mu-DU I-gi4-ru-x# (copy UM; photo shows abraded, possibly MAH?)"
I-ib-a-bu,Yibabu[]PN,I IB A BU,uncertain
I-ki-zu,Ikizu[]PN,I KI ZU,
I-ku-mi-šar,Ikumišar[]PN,I KU MI SAR,
I-ku-mi-šar-ta,Ikumišar[]PN,I KU MI SAR TA,
I-ku-nu-um,Ikunum[]PN,I KU NU UM,
I-ku-num₂,Ikunum[]PN,I KU LUM,
I-ku-pi₄-{d}UTU,IkunpiŠamaš[]PN,I KU KA AN UD,
I-ku-um-i-šar,Ikumišar[]PN,I KU UM I SAR,
I-ku-um-mi-šar,Ikumišar[]PN,I KU UM MI SAR,
I-ku-un-KA-{d}Utu,IkunpiŠamaš[]PN,I KU UN KA AN UD,
I-la-a-bu-um,Ilabum[]PN,I LA A BU UM,
I-la-ag-šu-qir,Ilagšuqir[]PN,I LA AK ŠU HA@G,
I-la-ag-ra-am,Ilagram[]PN,I LA AK RA |GUD×KUR|,
I-la-bu-i-ga-du,Ilabuʾigadu[]PN,I LA BU I GA DU,
I-la-bu-i-ga-tu,Ilabuʾigadu[]PN,I LA BU I GA TU,
I-la-ša-ma-ar,Ilašamar[]PN,I LA ŠA MA IGI RI,
I-la-ku,Illaku[]PN,I LA KU,< alāku?
I-me-er,Imer[]PN,I ME IR,
I-mi-id-eš₁₈-dar,ImidEštar[]PN,I MI A₂ AŠ@Z DAR,
I-mi-DINGIR,Imidili[]PN,I MI AN,
I-mi-di-DINGIR,Imidili[]PN,I MI DI AN,
I-mi-id-DINGIR,Imidili[]PN,I MI A₂ AN,
I-mi-id-DINGIR-ta,Imidili[]PN,I MI A₂ AN TA,
I-mi-id-Eš₄-tar₂,ImidEštar[]PN,I MI A₂ DIŠ DAR,
I-mi-id₂-DINGIR,Imidili[]PN,I MI |A.LAGAB×HAL| AN,SET 010 r 26 (no copy/photo)
I-mi-ti,Imitti[]PN,I MI TI,
I-mi-{d}Suen,ImidSuʾen[]PN,I MI AN EN ZU,ImisSuʾen?
I-mi-{d}Suen-še₃,ImidSuʾen[]PN,I MI AN EN ZU EŠ₂,
I-mun{ki},Išum[]SN,I |DIM×ŠE| KI,uncertain; MVN 08 222 o 7: erin2 I-šum?#{ki} (copy)
I-na-ba-nu-um,Inabanum[]PN,I NA BA NU UM,
I-ni-iq-re-e-u₂,Iniqreʾu[]PN,I NI IG RI E U₂,
I-pa₂-li₂-is,Ippalis[]PN,I BA NI GIŠ,
I-pa₂-li₂-is-ta,Ippalis[]PN,I BA NI GIŠ TA,
I-pi₂-iq-DINGIR,Ipiqili[]PN,I BI IG AN,
I-pi₂-iq-na-ni-ta,Ipiqnanum[]PN,I BI IG NA NI TA,
I-pi₅-iq-Er₃-ra,IpiqErra[]PN,I NE IG ARAD RA,
I-pi₅-iq-e₂-a,IpiqEʾa[]PN,I NE IG E₂ A,
I-pi₅-iq-na-nu-um,Ipiqnanum[]PN,I NE IG NA NU UM,
I-ra-am-{d}Da-gan,IramDagan[]PN,I RA |GUD×KUR| AN DA GAN,
I-re-bu-um,Iribum[]PN,I RI BU UM,= Irib?; < râbu 'replace'?
I-re-eb,Irib[]PN,I RI IB,< râbu 'replace'?
I-re-eb-um,Iribum[]PN,I RI IB UM,
I-re-eb₂,Irib[]PN,I RI TUM,
I-ri-bu-um,Iribum[]PN,I RI BU UM,
I-ri-ih-i₃-lum,Irihilum[]PN,I RI |HI×NUN| NI LUM,
I-ri-pu-um,Iribum[]PN,I RI BU UM,
I-ri₂-a-bu-um,Iriʾabum[]PN,I URU A BU UM,= Iribum?
I-sa₃-ri-ik,Issarik[]PN,I ZA RI IG,
I-sa₃-ri-ik-ta,Issarik[]PN,I ZA RI IG TA,
I-sa₃-ri₂-ik,Issarik[]PN,I ZA URU IG,
I-sar-kur-ba-aš,Išarkurbaš[]PN,I SAR KUR BA AŠ,
I-su-a-ri-ik,Isuʾarik[]PN,I SU A RI IG,
I-su-ri₂-iq,Isuriq[]PN,I SU URU IG,
I-su₂-a-ri-iq-ta,Isuʾarik[]PN,I ZU A RI IG TA,
I-ṣur-i₃-li₂,Iṣṣurili[]PN,I AMAR NI NI,
I-ta-e₃-a,Itaʾeʾa[]PN,I TA UD DU A,= Intaʾeʾa?
I-ta₂-ra-aq-i₃-li₂,Ittarakili[]PN,I DA RA AK NI NI,
I-ti-A-šur₅{ki},IddinAššur[]PN,I TI A LAL LAGAB KI,Amorites 12 (pl. 5) r 16: 5 udu 1 maš2 La-qi3-ip / dumu I-ti-a-šur5{ki} (copy/photo)
I-ti-E₂-a,IddinEa[]PN,I TI E₂ A,
I-ti-E₂-a-ta,IddinEa[]PN,I TI E₂ A TA,
I-ti-E₃-a,Itaʾeʾa[]PN,I TI UD DU A,= Intaʾeʾa?; Princeton 2 153 r 6: 1 sila4 I-ta-e3-a (photo)
I-ti-Eš₄-tar₂,IddinEštar[]PN,I TI DIŠ DAR,
I-ti-Er₃-ra,IddinErra[]PN,I TI ARAD RA,
I-ti-Er₃-ra-ka,IddinErra[]PN,I TI ARAD RA KA,
I-ti-Er₃-ra-ta,IddinErra[]PN,I TI ARAD RA TA,
I-ti-I-šum,IddinIšum[]PN,I TI I TAG,
I-ti-a,Itiʾa[]PN,I TI A,Idiʾa?
I-ti-šu-lum,IddinŠulum[]PN,I TI ŠU LUM,
I-ti-ga,Itiga[]PN,I TI GA,
I-ti-ib-ši-na-at,Iṭibšinat[]PN,I TI IB IGI NA AD,uncertain
I-ti-ib-ši₂-na-at,Iṭibšinat[]PN,I TI IB SI NA AD,
I-ti-lum,Itilum[]PN,I TI LUM,Itinum?/Iddinum?
I-ti-na,Itina[]PN,I TI NA,Iddina?
I-ti-su,Itisu[]PN,I TI SU,Iddissu < Iddin + šu?
I-ti-ti,Ititi[]PN,I TI TI,
I-ti-ti-a,Ititiʾa[]PN,I TI TI A,
I-ti-zu,Itizu[]PN,I TI ZU,
I-ti-zu-mu,Itizuŋu[]PN,I TI ZU MU,"uncertain; AUCT 1 339 o 5: 1 gu4 I-ti-zu-mu (or, I-ti-zu muhaldim?; copy/photo)"
I-ti-{d}Da-gan,IddinDagan[]PN,I TI AN DA GAN,
I-ti-{d}IŠKUR,IddinAdad[]PN,I TI AN IM,
I-ti-{d}Suen,IddinSuʾen[]PN,I TI AN EN ZU,
I-ti-{d}Suen-ta,IddinSuʾen[]PN,I TI AN EN ZU TA,
I-ti₂-Er₃-ra,IddinErra[]PN,I HI ARAD RA,
I-tib-ši-na-at,Iṭibšinat[]PN,I DIB IGI NA AD,
I-tib-ši₂-na-at,Iṭibšinat[]PN,I DIB SI NA AD,
I-tib{ib}-ši₂-na-at,Iṭibšinat[]PN,I DIB IB SI NA AD,
I-tu-a,Ituʾa[]PN,I TU A,
I-tu-ki-in,Ittukin[]PN,I TU KI IN,
I-tu-la-ni,Itulani[]PN,I TU LA NI,
I-tu-la-ni-ta,Itulani[]PN,I TU LA NI TA,
I-tu-ri-a,Ituriʾa[]PN,I TU RI A,hypo?
I-tu-ru-um,Iturum[]PN,I TU RU UM,
I-tu-ru-um-ta,Iturum[]PN,I TU RU UM TA,
I-tu-tu-a,Itutuʾa[]PN,I TU TU A,
I-tu-tu-a-ta,Itutuʾa[]PN,I TU TU A TA,
I-tur₂-DINGIR,Iturili[]PN,I |GU₂×KAK| AN,
I-ṭur-i₃-li₂,Iturili[]PN,I |GU₂×KAK| NI NI,
I-za-nu-um,Izanum[]PN,I ZA NU UM,Isanum/Iṣanum?
I-za-num₂,Izanum[]PN,I ZA LUM,
I-zi-a-ri₂-ik,Iṣiʾarik[]PN,I ZI A URU IG,
I-zi-in-Er₃-ra,IsinErra[]PN,I ZI IN ARAD RA,
I-zi-in-{d}Da-gan,IsinDagan[]PN,I ZI IN AN DA GAN,
I-zu-a,Izuʾa[]PN,I ZU A,hypo? (Iṣuʾa?)
I-zu-a-ri₂-ik,Iṣuʾarik[]PN,I ZU A URU IG,
I-zu-ri₂-da-ah,Izuridah[]PN,I ZU URU DA |HI×NUN|,
I-zu-sa-bar,I.ZU.sa.BAR[]PN,I ZU SA BAR,
I-zu-sa-bar-ta,I.ZU.sa.BAR[]PN,I ZU SA BAR TA,
I-zu-zu,Izuzu[]PN,I ZU ZU,
I₃-a-ab-ru{ki},Iabru[]SN,NI A AB RU KI,
I₃-a-ma-ti-um,Iamatium[]SN,NI A MA TI UM,
I₃-a-ma-ti-um{ki},Iamatium[]SN,NI A MA TI UM KI,
I₃-a-mu-tum,Iamutium[]SN,NI A MU TUM,
I₃-ab-ru{ki},Iabru[]SN,NI AB RU KI,
I₃-at-ti-um,Iatium[]PN,NI AD TI UM,Martu
I₃-ba-ba,Ibaba[]PN,NI BA BA,
I₃-še-bu,Išebu[]PN,NI ŠE BU,< Dariba{ki}
I₃-šu-dan,Išudan[]PN,NI ŠU KAL,NBC 09215 seal: I3-šu-dan / dumu In-na-e3
I₃-šum-ma-la-ak,Išummalak[]PN,NI TAG MA LA AK,
I₃-da-ga,Idaga[]PN,NI DA GA,
I₃-dur-DINGIR,Iturili[]PN,NI |GU₂×KAK| AN,
I₃-gi,Igin[]PN,NI GI,hypo < DN-i3-gi(-in)? (JSOR 13 177 38 r 1; possibly PDT 2 0903 o 6)
I₃-kal-la[]PN,Ikala[]PN,NI KAL LAPN,
I₃-la-bu-i₃-ga-du,Ilabuʾigadu[]PN,NI LA BU NI GA DU,"MVN 11 186 o 6, 8, r 6 (SH 45)"
I₃-la-lum,Ilallum[]PN,NI LA LUM,all AS
I₃-la-lum-ta,Ilallum[]PN,NI LA LUM TA,
I₃-la-ti,Ilati[]PN,NI LA TI,
I₃-lal₃-lum,Ilallum[]PN,NI |TA×HI| LUM,all AS
I₃-lal₃-lum-še₃,Ilallum[]PN,NI |TA×HI| LUM EŠ₂,
I₃-lal₃-lum-ta,Ilallum[]PN,NI |TA×HI| LUM TA,
I₃-lal₃-lum{um},Ilallum[]PN,NI |TA×HI| LUM UM,TCL 2 5541 r 4: igi I3-lal3(X×HI?)#-lum{+um} (copy/photo)
I₃-li₂-AN.DUL₃,Iliṣilli[]PN,NI NI AN SAG@G,
I₃-li₂-AN.DUL₃-ta,Iliṣilli[]PN,NI NI AN SAG@G TA,
I₃-li₂-KAL,Ilirabi[]PN,NI NI KAL,
I₃-li₂-MU,Iliya[]PN,NI NI MU,hypo?
I₃-li₂-MU-ta,Iliya[]PN,NI NI MU TA,
I₃-li₂-SA₆-tu,Ilišadu[]PN,NI NI ŠA₆ TU,uncertain ('my god is a mtn'?); SET 104 r 28 (no copy/photo)
I₃-li₂-TAB.BA,Ilitappi[]PN,NI NI TAB BA,
I₃-li₂-a,Iliya[]PN,NI NI A,hypo?
I₃-li₂-a-hu,Iliʾahu[]PN,NI NI A HU,BiMes 25 151 54 o 4 (SS 01)
I₃-li₂-a-hum-ta,Iliʾahum[]PN,NI NI A LUM TA,AnOr 12 277 r ii 24 (SH 33?)
I₃-li₂-a-ti,Iliʾati[]PN,NI NI A TI,
I₃-li₂-aš-ra-ni,Iliʾašrani[]PN,NI NI AŠ RA NI,
I₃-li₂-aš₂-ra-ni,Iliʾašrani[]PN,NI NI AŠ₂ RA NI,typo; TRU 157 r 2 (AŠ2 for AŠ; copy/photo)
I₃-li₂-ba-ni,Ilibani[]PN,NI NI BA NI,
